complaint_id,date_received,date_sent_to_company,company,product,sub_product,issue,sub_issue,company_public_response,company_response_to_consumer,timely_response,consumer_disputed,submitted_via,date_company_response,state,zip_code,tags,narrative,month,taxonomy_version,narrative_available,days_to_company
114,2025-03-15,2025-03-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
115,2025-03-15,2025-03-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
116,2025-03-15,2025-03-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
117,2025-03-15,2025-03-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
118,2025-03-15,2025-03-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
119,2025-03-15,2025-03-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
120,2025-03-15,2025-03-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
121,2025-03-15,2025-03-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
122,2025-03-15,2025-03-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
123,2025-03-15,2025-03-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
124,2025-03-15,2025-03-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
125,2025-03-15,2025-03-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
126,2025-03-15,2025-03-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
127,2025-03-15,2025-03-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
128,2025-03-15,2025-03-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
129,2025-03-15,2025-03-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
130,2025-03-15,2025-03-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
131,2025-03-15,2025-03-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
132,2025-03-15,2025-03-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
133,2025-03-15,2025-03-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
134,2025-03-15,2025-03-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
135,2025-03-15,2025-03-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
136,2025-03-15,2025-03-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
137,2025-03-15,2025-03-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
138,2025-03-15,2025-03-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with monetary relief,No,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
139,2025-03-15,2025-03-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
140,2025-03-15,2025-03-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
141,2025-03-15,2025-03-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
142,2025-03-15,2025-03-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
143,2025-03-15,2025-03-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
144,2025-03-15,2025-03-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
145,2025-03-15,2025-03-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
